genres,app_name,specs,price,early_access,sentiment,metascore,year,genres_encoded
Adventure,SUNLESS SEA,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",18.99,False,Very Positive,81.0,2015,1
Action,Hand of Fate,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",19.99,False,Very Positive,78.0,2015,0
Action,Hot Tin Roof: The Cat That Wore A Fedora,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Stats']",14.99,False,Mostly Positive,66.0,2015,0
Adventure,Oscura: Lost Light,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",6.99,False,Mixed,66.0,2015,1
Action,Oddworld: New 'n' Tasty,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",19.99,False,Very Positive,87.0,2015,0
Simulation,Homeworld Remastered Collection,"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud']",34.99,False,Very Positive,86.0,2015,8
Action,Shiftlings,"['Single-player', 'Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",14.99,False,Positive,70.0,2015,0
Adventure,White Night,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",14.99,False,Mostly Positive,68.0,2015,1
Action,ARMED SEVEN,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",4.99,False,Positive,67.0,2015,0
Adventure,Shelter 2,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",14.99,False,Very Positive,58.0,2015,1
Strategy,Sid Meier's Starships,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Leaderboards']",14.99,False,Mixed,64.0,2015,10
Action,Oceanhorn: Monster of Uncharted Seas,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",14.99,False,Very Positive,74.0,2015,0
Action,Woolfe - The Red Hood Diaries,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",9.99,False,Mixed,55.0,2015,0
Strategy,Etherium,"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",9.99,False,Mixed,62.0,2015,10
Simulation,The Corporate Machine,"['Single-player', 'Multi-player']",9.99,False,Mixed,80.0,2001,8
Indie,Ironcast,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",14.99,False,Mostly Positive,75.0,2015,4
Adventure,The Moment of Silence,"['Single-player', 'Steam Cloud']",14.99,False,Mixed,70.0,2005,1
Racing,RIDE,"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",39.99,False,Mostly Positive,68.0,2015,7
Action,A Pixel Story,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats']",11.99,False,Positive,74.0,2015,0
Action,Bloodsports.TV,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",9.99,False,Very Positive,69.0,2015,0
Action,Paperbound,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Includes level editor']",9.99,False,7 user reviews,68.0,2015,0
Adventure,15 Days,"['Single-player', 'Steam Cloud']",9.99,False,Mostly Negative,63.0,2010,1
Action,DARK SOULS™ II: Scholar of the First Sin,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support']",39.99,False,Very Positive,79.0,2015,0
Indie,War for the Overworld,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor']",29.99,False,Mostly Positive,65.0,2015,4
Adventure,Overclocked: A History of Violence,"['Single-player', 'Steam Cloud']",14.99,False,Mostly Positive,70.0,2008,1
Action,Blue Estate The Game,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",12.99,False,Very Positive,59.0,2015,0
Indie,Lakeview Cabin Collection,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",9.99,False,Very Positive,70.0,2015,4
Adventure,Dead Synchronicity: Tomorrow Comes Today,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",19.99,False,Very Positive,70.0,2015,1
Action,Albedo: Eyes from Outer Space,"['Single-player', 'Steam Achievements', 'Full controller support']",14.99,False,Mixed,66.0,2015,0
Adventure,The Charnel House Trilogy,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']",5.99,False,Very Positive,68.0,2015,1
Action,"Slow Down, Bull","['Single-player', 'Full controller support', 'Steam Trading Cards']",1.99,False,8 user reviews,65.0,2015,0
Action,Convoy,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",14.99,False,Mostly Positive,72.0,2015,0
Action,JumpJet Rex,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",9.99,False,Very Positive,76.0,2015,0
Action,Kalimba,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards']",9.99,False,Very Positive,81.0,2015,0
Action,Crypt of the NecroDancer,"['Single-player', 'Local Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor']",14.99,False,Overwhelmingly Positive,87.0,2015,0
Action,Fair Strike,"['Single-player', 'Steam Trading Cards', 'Partial Controller Support']",3.99,False,Mixed,56.0,2004,0
RPG,Dungeons 2,"['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",19.99,False,Mostly Positive,70.0,2015,6
Adventure,Karmaflow: The Rock Opera Videogame - Act I & Act II,"['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available']",4.99,False,Mostly Positive,47.0,2015,1
Indie,Vertiginous Golf,"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards']",9.99,False,Mixed,63.0,2014,4
Action,Inside My Radio,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",14.99,False,Very Positive,68.0,2015,0
Action,Action Henk,"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Steam Turn Notifications', 'Includes level editor']",14.99,False,Very Positive,74.0,2015,0
Action,Windward,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",9.99,False,Very Positive,61.0,2015,0
Indie,Galactic Civilizations III,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Stats']",29.99,False,Mostly Positive,81.0,2015,4
Action,NEON STRUCT,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",17.99,False,Very Positive,62.0,2015,0
Action,The Incredible Adventures of Van Helsing III,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",14.99,False,Mixed,64.0,2015,0
Action,BADLAND: Game of the Year Edition,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",9.99,False,Very Positive,79.0,2015,0
Action,Crimzon Clover WORLD IGNITION - Superplay Strategy Guide,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",7.99,False,3 user reviews,85.0,2015,0
Action,Crimzon Clover WORLD IGNITION - Arcade Poster Pack,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",0.99,False,1 user reviews,85.0,2015,0
Action,Crimzon Clover WORLD IGNITION - Arranged Sound Track,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",5.99,False,Positive,85.0,2015,0
Indie,0RBITALIS,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor']",9.99,False,Mostly Positive,73.0,2015,4
Adventure,Homesick,"['Single-player', 'Steam Trading Cards', 'Partial Controller Support']",14.99,False,Mostly Positive,72.0,2015,1
Adventure,The Detail Episode 2 - From The Ashes,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Stats']",3.99,False,6 user reviews,66.0,2015,1
Indie,MASSIVE CHALICE,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']",19.99,False,Mostly Positive,73.0,2015,4
Action,Hatred,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",8.99,False,Mostly Positive,43.0,2015,0
Action,You Must Build A Boat,"['Single-player', 'Steam Achievements', 'Steam Cloud']",4.99,False,Very Positive,71.0,2015,0
Action,Duck Game,"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Includes level editor']",12.99,False,Overwhelmingly Positive,82.0,2015,0
Action,The Masterplan,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']",19.99,False,Mixed,68.0,2015,0
Action,LEGO® Jurassic World,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",19.99,False,Very Positive,72.0,2015,0
Action,Rocket League®,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats']",19.99,False,Very Positive,86.0,2015,0
Racing,F1 2015,"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",39.99,False,Mixed,61.0,2015,7
Casual,Chime Sharp,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",9.99,False,Mostly Positive,85.0,2016,2
Indie,Holy Potatoes! A Weapon Shop?!,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",14.99,False,Mostly Positive,69.0,2015,4
Action,Five Nights at Freddy's 4,['Single-player'],7.99,False,Very Positive,51.0,2015,0
Adventure,Cradle,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats']",12.99,False,Mostly Positive,65.0,2015,1
Action,Victor Vran ARPG,"['Single-player', 'Multi-player', 'Co-op', 'Local Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",19.99,False,Very Positive,75.0,2015,0
Adventure,ENKI,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available']",4.99,False,Mixed,43.0,2015,1
RPG,Fairy Fencer F,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",29.99,False,Very Positive,66.0,2015,6
Action,INK,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",4.99,False,Very Positive,68.0,2015,0
Action,Shadow Blade: Reload,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor']",14.99,False,Very Positive,70.0,2015,0
Action,OlliOlli2: Welcome to Olliwood,"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards']",14.99,False,Very Positive,82.0,2015,0
Indie,Hacknet,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']",9.99,False,Very Positive,82.0,2015,4
Indie,Bard's Gold,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Leaderboards']",4.99,False,Very Positive,58.0,2015,4
Action,FINAL FANTASY TYPE-0™ HD,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",29.99,False,Mixed,69.0,2015,0
Action,ZOMBI,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",19.99,False,Mixed,65.0,2015,0
Action,Warlocks vs Shadows,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Co-op', 'Online Co-op', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",13.99,False,Mixed,68.0,2015,0
Action,Gryphon Knight Epic,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",6.99,False,Very Positive,55.0,2015,0
Action,DiscStorm,"['Single-player', 'Local Multi-Player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats']",11.99,False,9 user reviews,58.0,2015,0
RPG,Hard to Be a God,['Single-player'],7.99,False,Positive,55.0,2007,6
Action,Planet of the Eyes,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",9.99,False,Very Positive,66.0,2015,0
Adventure,Corpse of Discovery,"['Single-player', 'Full controller support', 'Captions available']",7.99,False,Mixed,49.0,2015,1
Adventure,Fran Bow,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",14.99,False,Overwhelmingly Positive,70.0,2015,1
Indie,Big Pharma,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",24.99,False,Mostly Positive,72.0,2015,4
Adventure,Calvino Noir,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']",6.99,False,Mixed,55.0,2015,1
Action,Red Goddess: Inner World,"['Single-player', 'Steam Achievements', 'Full controller support']",9.99,False,Mostly Negative,53.0,2015,0
Action,Mad Max,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",19.99,False,Very Positive,73.0,2015,0
Strategy,NOBUNAGA'S AMBITION: Sphere of Influence,"['Single-player', 'Steam Trading Cards', 'Steam Cloud']",59.99,False,Very Positive,70.0,2015,10
Action,METAL GEAR SOLID V: THE PHANTOM PAIN,"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Steam Leaderboards']",19.99,False,Very Positive,91.0,2015,0
Action,Master Spy,"['Single-player', 'Full controller support', 'Steam Trading Cards', 'Captions available']",9.99,False,Mostly Positive,68.0,2015,0
RPG,Ravenmark: Scourge of Estellion,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",14.99,False,Mixed,75.0,2015,6
Adventure,Dropsy,['Single-player'],9.99,False,Overwhelmingly Positive,80.0,2015,1
Indie,Undertale,"['Single-player', 'Steam Trading Cards']",9.99,False,Overwhelmingly Positive,92.0,2015,4
Casual,Train Valley,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",9.99,False,Very Positive,69.0,2015,2
Adventure,I Can't Escape: Darkness,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",11.99,False,Positive,40.0,2015,1
Adventure,STASIS Deluxe Edition Upgrade,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards']",4.99,False,4 user reviews,79.0,2015,1
Action,SOMA,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']",29.99,False,Overwhelmingly Positive,84.0,2015,0
Action,Jotun: Valhalla Edition,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",14.99,False,Very Positive,79.0,2015,0
Adventure,Armikrog,['Single-player'],9.99,False,Mixed,57.0,2015,1
Indie,Prison Architect,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']",29.99,False,Very Positive,83.0,2015,4
Indie,Masochisia,"['Single-player', 'Steam Trading Cards', 'Captions available']",7.99,False,Very Positive,68.0,2015,4
Action,Downwell,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards']",2.99,False,Overwhelmingly Positive,81.0,2015,0
Action,Mushroom 11,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",14.99,False,Very Positive,78.0,2015,0
Action,Broforce,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Full controller support', 'Includes level editor']",14.99,False,Overwhelmingly Positive,83.0,2015,0
Action,"Warhammer 40,000: Deathwatch - Enhanced Edition","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",14.99,False,Mixed,74.0,2015,0
RPG,Tales of Zestiria,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",49.99,False,Very Positive,77.0,2015,6
Adventure,COAST GUARD,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",14.99,False,Mostly Negative,47.0,2015,1
Indie,Kingdom: Classic,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",4.99,False,Very Positive,74.0,2015,4
Adventure,The Park,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",12.99,False,Mixed,67.0,2015,1
Adventure,Divinity: Original Sin - Enhanced Edition,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']",39.99,False,Very Positive,94.0,2015,1
Adventure,Bulb Boy,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",8.99,False,Very Positive,84.0,2015,1
Action,The Binding of Isaac: Afterbirth,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",10.99,False,Very Positive,85.0,2015,0
Simulation,Anno 2205™,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",39.99,False,Mixed,72.0,2015,8
Action,Call of Duty®: Black Ops III,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Steam Leaderboards']",59.99,False,Mixed,73.0,2015,0
Action,The Incredible Adventures of Van Helsing: Final Cut,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",44.99,False,Mixed,79.0,2015,0
Action,Kero Blaster,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",9.99,False,Very Positive,82.0,2015,0
Action,Life is Feudal: Your Own,"['Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Stats']",39.99,False,Mixed,63.0,2015,0
RPG,Mordheim: City of the Damned,"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",39.99,False,Mostly Positive,74.0,2015,6
Action,Mayan Death Robots,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",6.99,False,Positive,69.0,2015,0
Action,FIVE: Guardians of David,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats']",9.99,False,Mixed,66.0,2015,0
Racing,FIM Speedway Grand Prix 15,"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",24.99,False,Very Positive,68.0,2015,7
Action,Just Cause™ 3,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",49.99,False,Mostly Positive,74.0,2015,0
Indie,Valhalla Hills,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",19.99,False,Mixed,69.0,2015,4
Action,DARIUSBURST Chronicle Saviours,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",49.99,False,Very Positive,80.0,2015,0
Action,GUILTY GEAR Xrd -SIGN-,"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",29.99,False,Very Positive,84.0,2015,0
Adventure,Hatoful Boyfriend: Holiday Star,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",9.99,False,Very Positive,54.0,2015,1
Indie,Punch Club,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']",9.99,False,Very Positive,73.0,2016,4
Action,The Great Escape,"['Single-player', 'Steam Trading Cards', 'Partial Controller Support']",3.99,False,7 user reviews,54.0,2016,0
Indie,Tharsis,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",14.99,False,Mostly Positive,61.0,2016,4
Adventure,"That Dragon, Cancer","['Single-player', 'Full controller support']",9.99,False,Very Positive,78.0,2016,1
Adventure,Oxenfree,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']",19.99,False,Very Positive,80.0,2016,1
Action,Dragon's Dogma: Dark Arisen,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",29.99,False,Very Positive,81.0,2016,0
Adventure,Drawn™: Dark Flight,"['Single-player', 'Steam Trading Cards']",9.99,False,8 user reviews,75.0,2016,1
Strategy,Homeworld: Deserts of Kharak,"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",49.99,False,Mostly Positive,79.0,2016,10
Adventure,The Witness,"['Single-player', 'Steam Achievements', 'Captions available', 'Partial Controller Support', 'Steam Cloud']",39.99,False,Very Positive,87.0,2016,1
Action,Dying Light: The Following,"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']",19.99,False,Very Positive,79.0,2016,0
Adventure,Downfall,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",10.99,False,Very Positive,75.0,2016,1
Action,Men of Valor,"['Single-player', 'Multi-player']",9.99,False,Mixed,71.0,2004,0
Adventure,The Preposterous Awesomeness of Everything,"['Single-player', 'Steam Achievements']",6.99,False,Positive,54.0,2016,1
Adventure,Doors,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",4.99,False,Mixed,40.0,2016,1
Action,Defragmented,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",14.99,False,Mixed,68.0,2016,0
Action,ZHEROS,"['Single-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",9.99,False,Mixed,58.0,2016,0
Adventure,Layers of Fear,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",19.99,False,Very Positive,72.0,2016,1
Action,Street Fighter V,"['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",39.99,False,Mixed,74.0,2016,0
Adventure,Californium,"['Single-player', 'Steam Achievements']",9.99,False,Mostly Positive,64.0,2016,1
Action,Prospekt,"['Single-player', 'Steam Trading Cards', 'Commentary available']",9.99,False,Mixed,43.0,2016,0
Indie,No Pineapple Left Behind,"['Single-player', 'Steam Achievements']",9.99,False,Mixed,59.0,2016,4
Action,Dungelot: Shattered Lands,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",9.99,False,Mixed,78.0,2016,0
Adventure,Danganronpa: Trigger Happy Havoc,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",19.99,False,Overwhelmingly Positive,82.0,2016,1
Action,The Flame in the Flood,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",14.99,False,Mostly Positive,73.0,2016,0
Strategy,Hitman GO: Definitive Edition,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",7.99,False,Very Positive,72.0,2016,10
Action,Shadwen,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Includes level editor']",16.99,False,Mostly Positive,53.0,2016,0
RPG,Disgaea PC / 魔界戦記ディスガイア PC,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",14.99,False,Very Positive,74.0,2016,6
Action,SUPERHOT,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",24.99,False,Very Positive,82.0,2016,0
Adventure,The Count Lucanor,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",9.99,False,Very Positive,78.0,2016,1
Adventure,The Guest,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",9.99,False,Mostly Positive,68.0,2016,1
Action,Momodora: Reverie Under The Moonlight,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",9.99,False,Overwhelmingly Positive,82.0,2016,0
Strategy,Highland Warriors,['Single-player'],7.99,False,7 user reviews,58.0,2003,10
Action,Alekhine's Gun,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",39.99,False,Mixed,40.0,2016,0
Adventure,Obscuritas,"['Single-player', 'Steam Achievements']",14.99,False,Mixed,63.0,2016,1
Adventure,Nelly Cootalot: The Fowl Fleet,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",19.99,False,Positive,81.0,2016,1
Action,Zombasite,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements']",19.99,False,Very Positive,66.0,2016,0
Adventure,Samorost 3,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",19.99,False,Very Positive,80.0,2016,1
